y,ds,unique_id
81658,2019-05-31,1
84177,2019-06-30,1
87308,2019-07-31,1
84104,2019-08-31,1
72969,2019-09-30,1
79039,2019-10-31,1
73550,2019-11-30,1
79724,2019-12-31,1
71241,2020-01-31,1
68287,2020-02-29,1
39360,2020-03-31,1
3089,2020-04-30,1
10013,2020-05-31,1
16794,2020-06-30,1
24269,2020-07-31,1
26035,2020-08-31,1
25489,2020-09-30,1
30296,2020-10-31,1
29015,2020-11-30,1
30781,2020-12-31,1
27561,2021-01-31,1
26790,2021-02-28,1
43043,2021-03-31,1
48135,2021-04-30,1
57956,2021-05-31,1
66465,2021-06-30,1
74133,2021-07-31,1
67294,2021-08-31,1
59153,2021-09-30,1
66348,2021-10-31,1
66168,2021-11-30,1
66981,2021-12-31,1
52200,2022-01-31,1
55108,2022-02-28,1
72847,2022-03-31,1
72275,2022-04-30,1
76115,2022-05-31,1
77766,2022-06-30,1
80850,2022-07-31,1
77087,2022-08-31,1
71880,2022-09-30,1
76832,2022-10-31,1
72324,2022-11-30,1
72242,2022-12-31,1
67703,2023-01-31,1
65146,2023-02-28,1
80215,2023-03-31,1
77957,2023-04-30,1
82147,2023-05-31,1
84457,2023-06-30,1
88306,2023-07-31,1
83614,2023-08-31,1
76770,2023-09-30,1
83085,2023-10-31,1
78136,2023-11-30,1
79046,2023-12-31,1
70391,2024-01-31,1
70731,2024-02-29,1
85265,2024-03-31,1
81602,2024-04-30,1
87444,2024-05-31,1
90082,2024-06-30,1
92148,2024-07-31,1
87229,2024-08-31,1
77882,2024-09-30,1
83261,2024-10-31,1
